Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month,Day,Year,Time
176558,USB-C Charging Cable,2,11.95,4/29/2019 8:13,"917 1st St, Dallas, TX 75001",4,29,2019,8:13
176559,Bose SoundSport Headphones,1,99.99,4/17/2019 23:28,"682 Chestnut St, Boston, MA 02215",4,17,2019,23:28
176560,Google Phone,1,600,4/8/2019 10:40,"669 Spruce St, Los Angeles, CA 90001",4,8,2019,10:40
176560,Wired Headphones,1,11.99,4/18/2019 3:52,"669 Spruce St, Los Angeles, CA 90001",4,18,2019,3:52
176561,Wired Headphones,1,11.99,4/6/2019 18:40,"333 8th St, Los Angeles, CA 90001",4,6,2019,18:40
176562,USB-C Charging Cable,1,11.95,4/6/2019 18:35,"381 Wilson St, San Francisco, CA 94016",4,6,2019,18:35
176563,Bose SoundSport Headphones,1,99.99,4/18/2019 10:51,"668 Center St, Seattle, WA 98101",4,18,2019,10:51
176564,USB-C Charging Cable,1,11.95,4/1/2019 3:07,"790 Ridge St, Atlanta, GA 30301",4,1,2019,3:07
176565,Macbook Pro Laptop,1,1700,4/9/2019 16:59,"915 Willow St, San Francisco, CA 94016",4,9,2019,16:59
176566,Wired Headphones,1,11.99,4/14/2019 8:36,"83 7th St, Boston, MA 02215",4,14,2019,8:36
176567,Google Phone,1,600,4/9/2019 5:34,"444 7th St, Los Angeles, CA 90001",4,9,2019,5:34
176568,Lightning Charging Cable,1,14.95,4/20/2019 22:29,"438 Elm St, Seattle, WA 98101",4,20,2019,22:29
176569,27in 4K Gaming Monitor,1,389.99,4/27/2019 17:52,"657 Hill St, Dallas, TX 75001",4,27,2019,17:52
176570,AA Batteries (4-pack),1,3.84,4/24/2019 22:36,"186 12th St, Dallas, TX 75001",4,24,2019,22:36
176571,Lightning Charging Cable,1,14.95,4/8/2019 16:50,"253 Johnson St, Atlanta, GA 30301",4,8,2019,16:50
176572,Apple Airpods Headphones,1,150,4/14/2019 13:53,"149 Dogwood St, New York City, NY 10001",4,14,2019,13:53
176573,USB-C Charging Cable,1,11.95,4/13/2019 20:51,"214 Chestnut St, San Francisco, CA 94016",4,13,2019,20:51
176574,Google Phone,1,600,4/26/2019 9:22,"20 Hill St, Los Angeles, CA 90001",4,26,2019,9:22
176574,USB-C Charging Cable,1,11.95,4/12/2019 8:16,"20 Hill St, Los Angeles, CA 90001",4,12,2019,8:16
176575,AAA Batteries (4-pack),1,2.99,4/28/2019 20:12,"433 Hill St, New York City, NY 10001",4,28,2019,20:12
176576,Apple Airpods Headphones,1,150,4/30/2019 17:31,"771 Ridge St, Los Angeles, CA 90001",4,30,2019,17:31
176577,Apple Airpods Headphones,1,150,4/19/2019 6:32,"260 Spruce St, Dallas, TX 75001",4,19,2019,6:32
176578,Apple Airpods Headphones,1,150,4/14/2019 13:58,"513 Church St, Boston, MA 02215",4,14,2019,13:58
176579,AA Batteries (4-pack),1,3.84,4/23/2019 13:01,"886 Jefferson St, New York City, NY 10001",4,23,2019,13:01
176580,USB-C Charging Cable,1,11.95,4/19/2019 4:26,"886 Willow St, Los Angeles, CA 90001",4,19,2019,4:26
176581,iPhone,1,700,4/9/2019 19:42,"84 Jackson St, Boston, MA 02215",4,9,2019,19:42
176582,Bose SoundSport Headphones,1,99.99,4/11/2019 7:29,"178 Lincoln St, Atlanta, GA 30301",4,11,2019,7:29
176583,AAA Batteries (4-pack),2,2.99,4/2/2019 11:32,"146 Jackson St, Portland, OR 97035",4,2,2019,11:32
176584,Flatscreen TV,1,300,4/7/2019 18:38,"936 Church St, San Francisco, CA 94016",4,7,2019,18:38
176585,Bose SoundSport Headphones,1,99.99,4/9/2019 3:31,"823 Highland St, Boston, MA 02215",4,9,2019,3:31
176585,Bose SoundSport Headphones,1,99.99,4/26/2019 0:52,"823 Highland St, Boston, MA 02215",4,26,2019,0:52
176586,AAA Batteries (4-pack),2,2.99,4/7/2019 10:05,"365 Center St, San Francisco, CA 94016",4,7,2019,10:05
176586,Google Phone,1,600,4/15/2019 9:48,"365 Center St, San Francisco, CA 94016",4,15,2019,9:48
176587,27in FHD Monitor,1,149.99,4/24/2019 22:25,"557 5th St, Los Angeles, CA 90001",4,24,2019,22:25
176588,20in Monitor,1,109.99,4/7/2019 11:00,"765 Cherry St, Seattle, WA 98101",4,7,2019,11:00
176589,Lightning Charging Cable,1,14.95,4/24/2019 4:09,"846 Highland St, Atlanta, GA 30301",4,24,2019,4:09
