Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month,Day,Year,Time
248151,AA Batteries (4-pack),4,3.84,9/20/2019 4:56,"380 North St, Los Angeles, CA 90001",9,20,2019,4:56
248152,USB-C Charging Cable,2,11.95,9/3/2019 19:42,"511 8th St, Austin, TX 73301",9,3,2019,19:42
248153,USB-C Charging Cable,1,11.95,9/4/2019 4:02,"151 Johnson St, Los Angeles, CA 90001",9,4,2019,4:02
248154,27in FHD Monitor,1,149.99,9/3/2019 23:23,"355 Hickory St, Seattle, WA 98101",9,3,2019,23:23
248155,USB-C Charging Cable,1,11.95,9/3/2019 7:28,"125 5th St, Atlanta, GA 30301",9,3,2019,7:28
248156,34in Ultrawide Monitor,1,379.99,9/5/2019 21:09,"469 12th St, Los Angeles, CA 90001",9,5,2019,21:09
248157,Lightning Charging Cable,1,14.95,9/7/2019 19:28,"773 Johnson St, Portland, ME 04101",9,7,2019,19:28
248158,Lightning Charging Cable,1,14.95,9/17/2019 1:06,"682 Sunset St, Los Angeles, CA 90001",9,17,2019,1:06
248159,Vareebadd Phone,1,400,9/21/2019 17:10,"664 Wilson St, New York City, NY 10001",9,21,2019,17:10
248160,Wired Headphones,1,11.99,9/15/2019 10:55,"446 9th St, San Francisco, CA 94016",9,15,2019,10:55
248161,USB-C Charging Cable,1,11.95,9/28/2019 1:07,"439 Spruce St, San Francisco, CA 94016",9,28,2019,1:07
248162,AAA Batteries (4-pack),3,2.99,9/12/2019 9:07,"439 Walnut St, Seattle, WA 98101",9,12,2019,9:07
248163,USB-C Charging Cable,1,11.95,9/21/2019 22:11,"41 North St, Portland, OR 97035",9,21,2019,22:11
248164,27in FHD Monitor,1,149.99,9/25/2019 0:55,"88 9th St, San Francisco, CA 94016",9,25,2019,0:55
248165,Lightning Charging Cable,1,14.95,9/12/2019 15:16,"585 Adams St, Atlanta, GA 30301",9,12,2019,15:16
248166,Apple Airpods Headphones,1,150,9/4/2019 6:01,"21 9th St, Boston, MA 02215",9,4,2019,6:01
248167,Google Phone,1,600,9/5/2019 6:49,"711 Forest St, San Francisco, CA 94016",9,5,2019,6:49
248168,USB-C Charging Cable,1,11.95,9/15/2019 20:00,"219 Hickory St, San Francisco, CA 94016",9,15,2019,20:00
248169,20in Monitor,1,109.99,9/29/2019 4:52,"140 Ridge St, San Francisco, CA 94016",9,29,2019,4:52
248170,AAA Batteries (4-pack),1,2.99,9/24/2019 6:09,"857 Main St, Boston, MA 02215",9,24,2019,6:09
248171,USB-C Charging Cable,1,11.95,9/24/2019 4:08,"705 Hill St, New York City, NY 10001",9,24,2019,4:08
248171,USB-C Charging Cable,1,11.95,9/2/2019 6:46,"705 Hill St, New York City, NY 10001",9,2,2019,6:46
248172,Wired Headphones,1,11.99,9/13/2019 22:17,"820 Hill St, Boston, MA 02215",9,13,2019,22:17
248173,Apple Airpods Headphones,1,150,9/30/2019 14:00,"789 Lake St, Atlanta, GA 30301",9,30,2019,14:00
248174,Bose SoundSport Headphones,1,99.99,9/5/2019 5:04,"385 Washington St, Dallas, TX 75001",9,5,2019,5:04
248175,iPhone,1,700,9/15/2019 23:05,"736 4th St, Austin, TX 73301",9,15,2019,23:05
248176,AA Batteries (4-pack),2,3.84,9/11/2019 21:57,"177 Sunset St, San Francisco, CA 94016",9,11,2019,21:57
248177,USB-C Charging Cable,1,11.95,9/20/2019 7:29,"452 Adams St, San Francisco, CA 94016",9,20,2019,7:29
248178,Apple Airpods Headphones,1,150,9/17/2019 21:43,"725 Jefferson St, Los Angeles, CA 90001",9,17,2019,21:43
248179,27in FHD Monitor,1,149.99,9/29/2019 0:55,"510 Hickory St, New York City, NY 10001",9,29,2019,0:55
248180,USB-C Charging Cable,1,11.95,9/19/2019 23:07,"99 Ridge St, New York City, NY 10001",9,19,2019,23:07
248181,Apple Airpods Headphones,1,150,9/4/2019 16:58,"81 Spruce St, New York City, NY 10001",9,4,2019,16:58
248182,Apple Airpods Headphones,1,150,9/4/2019 2:37,"950 West St, New York City, NY 10001",9,4,2019,2:37
248183,34in Ultrawide Monitor,1,379.99,9/13/2019 23:02,"968 Ridge St, San Francisco, CA 94016",9,13,2019,23:02
248184,AA Batteries (4-pack),1,3.84,9/14/2019 18:02,"948 Main St, New York City, NY 10001",9,14,2019,18:02
248185,34in Ultrawide Monitor,1,379.99,09/31/2019 21:15,"967 Center St, New York City, NY 10001",9,31,2019,21:15
248186,USB-C Charging Cable,1,11.95,9/4/2019 23:18,"318 Cherry St, Seattle, WA 98101",9,4,2019,23:18
248187,AAA Batteries (4-pack),3,2.99,9/29/2019 0:49,"173 Elm St, Los Angeles, CA 90001",9,29,2019,0:49
248188,Apple Airpods Headphones,1,150,9/12/2019 6:33,"136 12th St, San Francisco, CA 94016",9,12,2019,6:33
248189,Google Phone,1,600,9/19/2019 15:22,"726 8th St, San Francisco, CA 94016",9,19,2019,15:22
248190,Bose SoundSport Headphones,1,99.99,9/2/2019 12:08,"350 Lincoln St, New York City, NY 10001",9,2,2019,12:08
248191,AAA Batteries (4-pack),1,2.99,9/26/2019 8:17,"446 2nd St, San Francisco, CA 94016",9,26,2019,8:17
248192,AAA Batteries (4-pack),2,2.99,9/24/2019 0:23,"444 North St, Austin, TX 73301",9,24,2019,0:23
248193,USB-C Charging Cable,1,11.95,9/18/2019 4:44,"867 Hill St, San Francisco, CA 94016",9,18,2019,4:44
248194,20in Monitor,1,109.99,9/21/2019 2:16,"519 Cherry St, Dallas, TX 75001",9,21,2019,2:16
248195,ThinkPad Laptop,1,999.99,9/3/2019 19:08,"631 6th St, Dallas, TX 75001",9,3,2019,19:08
248196,Lightning Charging Cable,1,14.95,9/13/2019 16:01,"608 Spruce St, Dallas, TX 75001",9,13,2019,16:01
248197,Apple Airpods Headphones,1,150,9/6/2019 6:51,"339 Highland St, Portland, OR 97035",9,6,2019,6:51
248198,AAA Batteries (4-pack),1,2.99,9/9/2019 8:24,"200 Wilson St, Portland, OR 97035",9,9,2019,8:24
248199,Google Phone,1,600,9/2/2019 17:55,"780 4th St, Boston, MA 02215",9,2,2019,17:55
248200,Lightning Charging Cable,1,14.95,9/13/2019 2:29,"208 Main St, Atlanta, GA 30301",9,13,2019,2:29
248201,Bose SoundSport Headphones,1,99.99,9/24/2019 21:30,"606 North St, New York City, NY 10001",9,24,2019,21:30
248202,27in FHD Monitor,1,149.99,9/6/2019 11:41,"392 10th St, Los Angeles, CA 90001",9,6,2019,11:41
248203,Apple Airpods Headphones,1,150,9/17/2019 3:34,"732 Park St, New York City, NY 10001",9,17,2019,3:34
248204,Macbook Pro Laptop,1,1700,9/11/2019 7:42,"940 Madison St, Seattle, WA 98101",9,11,2019,7:42
248205,AA Batteries (4-pack),3,3.84,9/28/2019 11:16,"353 Lake St, Atlanta, GA 30301",9,28,2019,11:16
248206,AAA Batteries (4-pack),1,2.99,9/3/2019 3:54,"414 7th St, San Francisco, CA 94016",9,3,2019,3:54
248207,Flatscreen TV,1,300,9/8/2019 23:25,"636 13th St, Los Angeles, CA 90001",9,8,2019,23:25
248208,Macbook Pro Laptop,1,1700,9/27/2019 5:53,"22 7th St, Portland, ME 04101",9,27,2019,5:53
248209,Apple Airpods Headphones,1,150,9/6/2019 2:11,"477 Church St, San Francisco, CA 94016",9,6,2019,2:11
248210,iPhone,1,700,9/19/2019 10:33,"292 Washington St, San Francisco, CA 94016",9,19,2019,10:33
248210,Lightning Charging Cable,1,14.95,9/23/2019 19:55,"292 Washington St, San Francisco, CA 94016",9,23,2019,19:55
248211,AA Batteries (4-pack),1,3.84,09/31/2019 04:07,"602 4th St, San Francisco, CA 94016",9,31,2019,4:07
248212,USB-C Charging Cable,3,11.95,9/8/2019 20:02,"244 Jefferson St, Boston, MA 02215",9,8,2019,20:02
248213,27in 4K Gaming Monitor,1,389.99,9/30/2019 21:44,"852 Dogwood St, Los Angeles, CA 90001",9,30,2019,21:44
248214,Lightning Charging Cable,1,14.95,9/10/2019 17:12,"213 West St, San Francisco, CA 94016",9,10,2019,17:12
248215,34in Ultrawide Monitor,1,379.99,9/18/2019 20:04,"876 Maple St, San Francisco, CA 94016",9,18,2019,20:04
248216,AAA Batteries (4-pack),1,2.99,9/12/2019 1:02,"394 Madison St, San Francisco, CA 94016",9,12,2019,1:02
248217,Apple Airpods Headphones,1,150,9/3/2019 8:12,"539 Forest St, Boston, MA 02215",9,3,2019,8:12
248218,AA Batteries (4-pack),1,3.84,9/19/2019 19:27,"258 Forest St, New York City, NY 10001",9,19,2019,19:27
248219,Bose SoundSport Headphones,1,99.99,9/26/2019 12:19,"665 Maple St, Los Angeles, CA 90001",9,26,2019,12:19
248219,Google Phone,1,600,9/14/2019 7:17,"665 Maple St, Los Angeles, CA 90001",9,14,2019,7:17
248220,Lightning Charging Cable,2,14.95,9/5/2019 21:54,"751 Johnson St, San Francisco, CA 94016",9,5,2019,21:54
248221,AA Batteries (4-pack),1,3.84,9/28/2019 9:27,"425 4th St, Los Angeles, CA 90001",9,28,2019,9:27
248222,Lightning Charging Cable,1,14.95,9/8/2019 18:20,"139 Ridge St, San Francisco, CA 94016",9,8,2019,18:20
248223,20in Monitor,1,109.99,9/18/2019 16:01,"350 11th St, Seattle, WA 98101",9,18,2019,16:01
248224,AAA Batteries (4-pack),2,2.99,9/25/2019 9:45,"523 Wilson St, New York City, NY 10001",9,25,2019,9:45
248225,Lightning Charging Cable,1,14.95,9/9/2019 20:27,"414 12th St, San Francisco, CA 94016",9,9,2019,20:27
248226,Wired Headphones,1,11.99,9/3/2019 14:20,"316 10th St, Boston, MA 02215",9,3,2019,14:20
248227,Lightning Charging Cable,1,14.95,9/19/2019 22:13,"182 Hickory St, Austin, TX 73301",9,19,2019,22:13
248228,Lightning Charging Cable,1,14.95,9/5/2019 4:31,"956 Sunset St, Boston, MA 02215",9,5,2019,4:31
248229,Wired Headphones,1,11.99,9/22/2019 5:36,"191 Spruce St, San Francisco, CA 94016",9,22,2019,5:36
248230,AA Batteries (4-pack),1,3.84,9/25/2019 17:49,"939 1st St, San Francisco, CA 94016",9,25,2019,17:49
