Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month,Day,Year,Time
141234,iPhone,1,700,1/9/2019 14:20,"944 Walnut St, Boston, MA 02215",1,9,2019,14:20
141235,Lightning Charging Cable,1,14.95,1/30/2019 12:50,"185 Maple St, Portland, OR 97035",1,30,2019,12:50
141236,Wired Headphones,2,11.99,1/17/2019 9:10,"538 Adams St, San Francisco, CA 94016",1,17,2019,9:10
141237,27in FHD Monitor,1,149.99,1/11/2019 20:52,"738 10th St, Los Angeles, CA 90001",1,11,2019,20:52
141238,Wired Headphones,1,11.99,1/7/2019 8:05,"387 10th St, Austin, TX 73301",1,7,2019,8:05
141239,AAA Batteries (4-pack),1,2.99,1/30/2019 23:30,"775 Willow St, San Francisco, CA 94016",1,30,2019,23:30
141240,27in 4K Gaming Monitor,1,389.99,1/3/2019 2:27,"979 Park St, Los Angeles, CA 90001",1,3,2019,2:27
141241,USB-C Charging Cable,1,11.95,1/24/2019 12:30,"181 6th St, San Francisco, CA 94016",1,24,2019,12:30
141242,Bose SoundSport Headphones,1,99.99,1/18/2019 4:11,"867 Willow St, Los Angeles, CA 90001",1,18,2019,4:11
141243,Apple Airpods Headphones,1,150,1/19/2019 6:20,"657 Johnson St, San Francisco, CA 94016",1,19,2019,6:20
141244,Apple Airpods Headphones,1,150,1/9/2019 19:17,"492 Walnut St, San Francisco, CA 94016",1,9,2019,19:17
141245,Macbook Pro Laptop,1,1700,1/8/2019 8:24,"322 6th St, San Francisco, CA 94016",1,8,2019,8:24
141246,AAA Batteries (4-pack),3,2.99,1/11/2019 14:04,"618 7th St, Los Angeles, CA 90001",1,11,2019,14:04
141247,27in FHD Monitor,1,149.99,1/30/2019 21:05,"512 Wilson St, San Francisco, CA 94016",1,30,2019,21:05
141248,Flatscreen TV,1,300,1/5/2019 7:45,"363 Spruce St, Austin, TX 73301",1,5,2019,7:45
141249,27in FHD Monitor,1,149.99,1/20/2019 14:00,"440 Cedar St, Portland, OR 97035",1,20,2019,14:00
141250,Vareebadd Phone,1,400,1/29/2019 21:00,"471 Center St, Los Angeles, CA 90001",1,29,2019,21:00
141251,Apple Airpods Headphones,1,150,1/2/2019 7:56,"414 Walnut St, Boston, MA 02215",1,2,2019,7:56
141252,USB-C Charging Cable,1,11.95,1/18/2019 16:30,"220 9th St, Los Angeles, CA 90001",1,18,2019,16:30
141253,AA Batteries (4-pack),1,3.84,1/6/2019 23:08,"385 11th St, Atlanta, GA 30301",1,6,2019,23:08
141254,AAA Batteries (4-pack),1,2.99,1/24/2019 20:44,"238 Sunset St, Seattle, WA 98101",1,24,2019,20:44
141255,USB-C Charging Cable,1,11.95,1/10/2019 19:09,"764 11th St, Los Angeles, CA 90001",1,10,2019,19:09
141256,Google Phone,1,600,1/19/2019 9:33,"675 Washington St, Portland, OR 97035",1,19,2019,9:33
141257,Apple Airpods Headphones,1,150,1/18/2019 19:10,"338 Highland St, San Francisco, CA 94016",1,18,2019,19:10
141258,AA Batteries (4-pack),1,3.84,1/16/2019 9:11,"820 1st St, San Francisco, CA 94016",1,16,2019,9:11
141259,AAA Batteries (4-pack),2,2.99,1/19/2019 12:54,"920 Adams St, San Francisco, CA 94016",1,19,2019,12:54
141260,AAA Batteries (4-pack),1,2.99,1/30/2019 20:43,"293 Hill St, San Francisco, CA 94016",1,30,2019,20:43
141261,USB-C Charging Cable,1,11.95,1/24/2019 4:42,"840 Lincoln St, Atlanta, GA 30301",1,24,2019,4:42
141262,AAA Batteries (4-pack),1,2.99,1/21/2019 1:14,"291 Lincoln St, San Francisco, CA 94016",1,21,2019,1:14
141263,Bose SoundSport Headphones,1,99.99,1/10/2019 13:53,"640 Spruce St, Boston, MA 02215",1,10,2019,13:53
141264,Apple Airpods Headphones,1,150,1/30/2019 18:26,"937 Highland St, New York City, NY 10001",1,30,2019,18:26
141265,Apple Airpods Headphones,1,150,1/7/2019 17:45,"853 Ridge St, Boston, MA 02215",1,7,2019,17:45
141266,27in 4K Gaming Monitor,1,389.99,1/20/2019 17:14,"834 4th St, Dallas, TX 75001",1,20,2019,17:14
141267,Apple Airpods Headphones,1,150,1/22/2019 21:07,"649 Sunset St, Los Angeles, CA 90001",1,22,2019,21:07
141268,AA Batteries (4-pack),1,3.84,1/12/2019 22:59,"611 Elm St, New York City, NY 10001",1,12,2019,22:59
141269,27in 4K Gaming Monitor,1,389.99,1/3/2019 18:43,"812 Jefferson St, Los Angeles, CA 90001",1,3,2019,18:43
141270,Wired Headphones,1,11.99,1/2/2019 18:21,"469 Hill St, San Francisco, CA 94016",1,2,2019,18:21
141271,USB-C Charging Cable,1,11.95,1/16/2019 15:45,"90 13th St, Boston, MA 02215",1,16,2019,15:45
141272,AAA Batteries (4-pack),1,2.99,1/3/2019 2:16,"818 Lincoln St, New York City, NY 10001",1,3,2019,2:16
141273,Wired Headphones,2,11.99,1/23/2019 20:40,"994 13th St, Boston, MA 02215",1,23,2019,20:40
141274,USB-C Charging Cable,1,11.95,1/11/2019 1:49,"8 Jackson St, Los Angeles, CA 90001",1,11,2019,1:49
141275,USB-C Charging Cable,1,11.95,1/25/2019 2:44,"610 Walnut St, Austin, TX 73301",1,25,2019,2:44
141275,Wired Headphones,1,11.99,1/6/2019 16:25,"610 Walnut St, Austin, TX 73301",1,6,2019,16:25
141276,Lightning Charging Cable,1,14.95,1/21/2019 8:42,"63 Cherry St, Los Angeles, CA 90001",1,21,2019,8:42
141277,Bose SoundSport Headphones,1,99.99,1/22/2019 10:31,"370 Lakeview St, Austin, TX 73301",1,22,2019,10:31
141278,Lightning Charging Cable,1,14.95,1/8/2019 21:17,"100 Cherry St, New York City, NY 10001",1,8,2019,21:17
141279,Lightning Charging Cable,1,14.95,1/13/2019 10:24,"938 14th St, Boston, MA 02215",1,13,2019,10:24
141280,AAA Batteries (4-pack),1,2.99,1/19/2019 0:31,"530 7th St, Los Angeles, CA 90001",1,19,2019,0:31
141281,Lightning Charging Cable,1,14.95,1/27/2019 1:24,"274 2nd St, Atlanta, GA 30301",1,27,2019,1:24
141282,Vareebadd Phone,1,400,1/2/2019 22:46,"125 Center St, New York City, NY 10001",1,2,2019,22:46
141283,Flatscreen TV,1,300,1/11/2019 16:09,"68 Hickory St, Seattle, WA 98101",1,11,2019,16:09
141284,Wired Headphones,1,11.99,1/7/2019 13:42,"462 1st St, Los Angeles, CA 90001",1,7,2019,13:42
141285,AAA Batteries (4-pack),3,2.99,1/6/2019 22:02,"447 Cedar St, Seattle, WA 98101",1,6,2019,22:02
141286,27in 4K Gaming Monitor,1,389.99,1/7/2019 11:03,"505 Hickory St, Dallas, TX 75001",1,7,2019,11:03
