Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month,Day,Year,Time
222910,Apple Airpods Headphones,1,150,4/3/2019 14:56,"389 South St, Atlanta, GA 30301",4,3,2019,14:56
222911,Flatscreen TV,1,300,4/29/2019 20:01,"590 4th St, Seattle, WA 98101",4,29,2019,20:01
222912,AA Batteries (4-pack),1,3.84,4/4/2019 7:11,"861 Hill St, Atlanta, GA 30301",4,4,2019,7:11
222913,AA Batteries (4-pack),1,3.84,4/21/2019 9:18,"190 Ridge St, Atlanta, GA 30301",4,21,2019,9:18
222914,AAA Batteries (4-pack),5,2.99,4/2/2019 0:52,"824 Forest St, Seattle, WA 98101",4,2,2019,0:52
222915,Bose SoundSport Headphones,1,99.99,4/12/2019 14:32,"899 Elm St, San Francisco, CA 94016",4,12,2019,14:32
222916,Google Phone,1,600,4/7/2019 18:26,"745 Chestnut St, New York City, NY 10001",4,7,2019,18:26
222917,LG Dryer,1,600,4/24/2019 14:16,"490 Adams St, New York City, NY 10001",4,24,2019,14:16
222918,USB-C Charging Cable,1,11.95,4/20/2019 9:43,"207 1st St, Los Angeles, CA 90001",4,20,2019,9:43
222919,Lightning Charging Cable,1,14.95,4/3/2019 9:38,"29 Jefferson St, Dallas, TX 75001",4,3,2019,9:38
222920,AA Batteries (4-pack),1,3.84,4/25/2019 14:15,"590 6th St, San Francisco, CA 94016",4,25,2019,14:15
222921,Lightning Charging Cable,1,14.95,4/23/2019 19:00,"960 Willow St, San Francisco, CA 94016",4,23,2019,19:00
222922,34in Ultrawide Monitor,1,379.99,4/9/2019 23:33,"616 Chestnut St, Dallas, TX 75001",4,9,2019,23:33
222923,AAA Batteries (4-pack),1,2.99,4/21/2019 15:51,"105 Johnson St, Los Angeles, CA 90001",4,21,2019,15:51
222924,Bose SoundSport Headphones,1,99.99,4/25/2019 15:16,"444 Spruce St, San Francisco, CA 94016",4,25,2019,15:16
222925,Apple Airpods Headphones,1,150,4/20/2019 5:36,"764 Adams St, San Francisco, CA 94016",4,20,2019,5:36
222926,Lightning Charging Cable,2,14.95,4/19/2019 22:32,"577 Lakeview St, Los Angeles, CA 90001",4,19,2019,22:32
222927,Wired Headphones,1,11.99,4/1/2019 4:31,"244 Washington St, Los Angeles, CA 90001",4,1,2019,4:31
222928,Google Phone,1,600,4/12/2019 0:37,"524 Cherry St, San Francisco, CA 94016",4,12,2019,0:37
222929,Vareebadd Phone,1,400,4/15/2019 6:27,"882 Hickory St, Boston, MA 02215",4,15,2019,6:27
222930,Lightning Charging Cable,1,14.95,4/16/2019 6:51,"826 River St, San Francisco, CA 94016",4,16,2019,6:51
222931,USB-C Charging Cable,1,11.95,4/13/2019 21:40,"145 Pine St, Boston, MA 02215",4,13,2019,21:40
222932,Wired Headphones,1,11.99,4/27/2019 1:23,"386 Cedar St, Los Angeles, CA 90001",4,27,2019,1:23
222933,LG Dryer,1,600,4/9/2019 23:45,"76 2nd St, Los Angeles, CA 90001",4,9,2019,23:45
222934,AA Batteries (4-pack),2,3.84,4/4/2019 13:57,"437 River St, Seattle, WA 98101",4,4,2019,13:57
222935,AAA Batteries (4-pack),1,2.99,4/10/2019 19:40,"118 9th St, San Francisco, CA 94016",4,10,2019,19:40
222936,27in FHD Monitor,1,149.99,4/25/2019 8:42,"483 West St, Boston, MA 02215",4,25,2019,8:42
222937,Lightning Charging Cable,2,14.95,4/24/2019 21:51,"538 North St, San Francisco, CA 94016",4,24,2019,21:51
222938,Flatscreen TV,1,300,4/19/2019 12:41,"523 Hickory St, Dallas, TX 75001",4,19,2019,12:41
222939,Apple Airpods Headphones,1,150,4/1/2019 17:46,"597 Madison St, Los Angeles, CA 90001",4,1,2019,17:46
222940,Wired Headphones,2,11.99,4/15/2019 16:25,"779 Maple St, San Francisco, CA 94016",4,15,2019,16:25
222941,Apple Airpods Headphones,1,150,4/29/2019 7:09,"631 Willow St, San Francisco, CA 94016",4,29,2019,7:09
222942,Lightning Charging Cable,1,14.95,4/5/2019 13:12,"424 Church St, Portland, OR 97035",4,5,2019,13:12
222943,Lightning Charging Cable,1,14.95,4/25/2019 14:39,"575 4th St, Seattle, WA 98101",4,25,2019,14:39
222944,27in FHD Monitor,1,149.99,4/30/2019 2:48,"70 Meadow St, San Francisco, CA 94016",4,30,2019,2:48
222945,Wired Headphones,1,11.99,4/20/2019 21:13,"191 Dogwood St, Los Angeles, CA 90001",4,20,2019,21:13
222946,20in Monitor,1,109.99,4/24/2019 1:38,"49 Park St, New York City, NY 10001",4,24,2019,1:38
222947,ThinkPad Laptop,1,999.99,4/5/2019 8:12,"612 Spruce St, New York City, NY 10001",4,5,2019,8:12
222948,USB-C Charging Cable,1,11.95,4/13/2019 18:37,"631 12th St, San Francisco, CA 94016",4,13,2019,18:37
222949,USB-C Charging Cable,1,11.95,4/8/2019 21:16,"902 Cedar St, Dallas, TX 75001",4,8,2019,21:16
222950,Lightning Charging Cable,1,14.95,4/22/2019 8:27,"358 1st St, Dallas, TX 75001",4,22,2019,8:27
222951,Apple Airpods Headphones,1,150,4/20/2019 16:22,"781 Maple St, San Francisco, CA 94016",4,20,2019,16:22
222952,Lightning Charging Cable,1,14.95,4/9/2019 5:22,"879 Park St, San Francisco, CA 94016",4,9,2019,5:22
222953,Lightning Charging Cable,1,14.95,4/10/2019 8:58,"109 Highland St, Los Angeles, CA 90001",4,10,2019,8:58
222954,AA Batteries (4-pack),2,3.84,4/28/2019 20:21,"980 Chestnut St, Dallas, TX 75001",4,28,2019,20:21
222955,USB-C Charging Cable,1,11.95,4/23/2019 18:10,"117 Lake St, Los Angeles, CA 90001",4,23,2019,18:10
222956,27in 4K Gaming Monitor,1,389.99,4/27/2019 8:52,"525 6th St, Atlanta, GA 30301",4,27,2019,8:52
222957,AAA Batteries (4-pack),1,2.99,4/21/2019 4:51,"143 5th St, Portland, OR 97035",4,21,2019,4:51
222958,AAA Batteries (4-pack),1,2.99,4/10/2019 6:09,"777 5th St, Dallas, TX 75001",4,10,2019,6:09
222959,ThinkPad Laptop,1,999.99,4/8/2019 8:49,"252 River St, Dallas, TX 75001",4,8,2019,8:49
222960,Lightning Charging Cable,1,14.95,4/15/2019 23:47,"638 Dogwood St, San Francisco, CA 94016",4,15,2019,23:47
222961,Lightning Charging Cable,1,14.95,4/2/2019 11:40,"840 5th St, Dallas, TX 75001",4,2,2019,11:40
222962,Wired Headphones,1,11.99,4/28/2019 11:27,"694 Cherry St, Seattle, WA 98101",4,28,2019,11:27
222963,USB-C Charging Cable,1,11.95,4/8/2019 7:37,"734 Elm St, Boston, MA 02215",4,8,2019,7:37
222964,Macbook Pro Laptop,1,1700,4/27/2019 13:48,"601 Lake St, Boston, MA 02215",4,27,2019,13:48
222965,AAA Batteries (4-pack),2,2.99,4/29/2019 5:16,"792 Cedar St, San Francisco, CA 94016",4,29,2019,5:16
222966,AA Batteries (4-pack),2,3.84,4/24/2019 8:53,"718 7th St, Seattle, WA 98101",4,24,2019,8:53
222967,20in Monitor,1,109.99,4/20/2019 1:52,"161 13th St, San Francisco, CA 94016",4,20,2019,1:52
222968,AA Batteries (4-pack),1,3.84,4/6/2019 15:59,"536 14th St, San Francisco, CA 94016",4,6,2019,15:59
222969,AAA Batteries (4-pack),1,2.99,4/10/2019 0:21,"248 Johnson St, San Francisco, CA 94016",4,10,2019,0:21
222970,AAA Batteries (4-pack),1,2.99,4/1/2019 0:37,"594 Church St, Atlanta, GA 30301",4,1,2019,0:37
222971,Apple Airpods Headphones,1,150,4/10/2019 8:55,"444 Spruce St, Austin, TX 73301",4,10,2019,8:55
222972,Wired Headphones,1,11.99,4/10/2019 21:24,"917 Madison St, Seattle, WA 98101",4,10,2019,21:24
222973,Flatscreen TV,1,300,4/18/2019 13:20,"509 Hickory St, Seattle, WA 98101",4,18,2019,13:20
222974,Lightning Charging Cable,1,14.95,4/6/2019 16:33,"112 Wilson St, Los Angeles, CA 90001",4,6,2019,16:33
222975,Wired Headphones,1,11.99,4/8/2019 13:06,"541 Hickory St, Los Angeles, CA 90001",4,8,2019,13:06
222976,Lightning Charging Cable,1,14.95,4/17/2019 1:57,"390 1st St, Los Angeles, CA 90001",4,17,2019,1:57
222977,Lightning Charging Cable,1,14.95,4/10/2019 11:37,"660 Walnut St, Los Angeles, CA 90001",4,10,2019,11:37
222978,AAA Batteries (4-pack),2,2.99,4/9/2019 5:25,"941 Willow St, Seattle, WA 98101",4,9,2019,5:25
222979,Bose SoundSport Headphones,1,99.99,4/14/2019 15:34,"844 Center St, Seattle, WA 98101",4,14,2019,15:34
222980,Bose SoundSport Headphones,1,99.99,4/15/2019 19:52,"519 Park St, Atlanta, GA 30301",4,15,2019,19:52
222981,USB-C Charging Cable,1,11.95,4/13/2019 3:09,"791 9th St, Austin, TX 73301",4,13,2019,3:09
222982,Flatscreen TV,1,300,4/12/2019 5:56,"651 Ridge St, Portland, OR 97035",4,12,2019,5:56
222983,Lightning Charging Cable,1,14.95,4/11/2019 18:19,"639 Spruce St, Boston, MA 02215",4,11,2019,18:19
222984,USB-C Charging Cable,1,11.95,4/9/2019 11:55,"305 Johnson St, Austin, TX 73301",4,9,2019,11:55
222985,Bose SoundSport Headphones,1,99.99,4/27/2019 13:35,"846 Lake St, Dallas, TX 75001",4,27,2019,13:35
222986,Lightning Charging Cable,1,14.95,4/11/2019 22:30,"313 Forest St, San Francisco, CA 94016",4,11,2019,22:30
222987,AAA Batteries (4-pack),1,2.99,4/4/2019 10:29,"538 1st St, New York City, NY 10001",4,4,2019,10:29
222988,Lightning Charging Cable,1,14.95,4/27/2019 5:31,"647 Meadow St, Dallas, TX 75001",4,27,2019,5:31
222989,Lightning Charging Cable,1,14.95,4/17/2019 0:11,"48 Walnut St, Dallas, TX 75001",4,17,2019,0:11
222990,AAA Batteries (4-pack),2,2.99,4/8/2019 16:51,"419 Jackson St, New York City, NY 10001",4,8,2019,16:51
222991,27in FHD Monitor,1,149.99,4/21/2019 20:31,"450 8th St, Los Angeles, CA 90001",4,21,2019,20:31
222992,AA Batteries (4-pack),1,3.84,4/20/2019 13:54,"779 Washington St, San Francisco, CA 94016",4,20,2019,13:54
222993,AAA Batteries (4-pack),1,2.99,4/3/2019 16:30,"697 Adams St, Los Angeles, CA 90001",4,3,2019,16:30
222994,USB-C Charging Cable,1,11.95,4/25/2019 3:32,"251 Cedar St, New York City, NY 10001",4,25,2019,3:32
222995,34in Ultrawide Monitor,1,379.99,4/16/2019 17:47,"837 Park St, San Francisco, CA 94016",4,16,2019,17:47
222996,27in FHD Monitor,1,149.99,4/1/2019 15:47,"885 Sunset St, Los Angeles, CA 90001",4,1,2019,15:47
222997,AAA Batteries (4-pack),1,2.99,4/10/2019 17:16,"619 Willow St, New York City, NY 10001",4,10,2019,17:16
222998,Lightning Charging Cable,1,14.95,4/9/2019 13:04,"38 Lakeview St, Boston, MA 02215",4,9,2019,13:04
222999,Flatscreen TV,1,300,4/7/2019 4:07,"615 Cherry St, Seattle, WA 98101",4,7,2019,4:07
223000,AAA Batteries (4-pack),1,2.99,4/15/2019 5:55,"670 10th St, Atlanta, GA 30301",4,15,2019,5:55
223001,Apple Airpods Headphones,1,150,4/12/2019 14:07,"978 10th St, San Francisco, CA 94016",4,12,2019,14:07
223002,AA Batteries (4-pack),1,3.84,4/16/2019 4:44,"603 12th St, Dallas, TX 75001",4,16,2019,4:44
223003,Lightning Charging Cable,1,14.95,4/3/2019 23:40,"18 Jefferson St, San Francisco, CA 94016",4,3,2019,23:40
223004,AAA Batteries (4-pack),1,2.99,4/25/2019 9:46,"911 Spruce St, San Francisco, CA 94016",4,25,2019,9:46
223005,27in FHD Monitor,1,149.99,4/27/2019 9:50,"306 Lake St, Austin, TX 73301",4,27,2019,9:50
223006,Lightning Charging Cable,1,14.95,4/3/2019 17:30,"499 Park St, Los Angeles, CA 90001",4,3,2019,17:30
223007,Bose SoundSport Headphones,1,99.99,4/22/2019 0:25,"481 10th St, Portland, OR 97035",4,22,2019,0:25
223008,AAA Batteries (4-pack),3,2.99,4/9/2019 21:37,"289 13th St, Boston, MA 02215",4,9,2019,21:37
223009,Apple Airpods Headphones,1,150,4/7/2019 9:58,"152 9th St, Boston, MA 02215",4,7,2019,9:58
223010,AAA Batteries (4-pack),1,2.99,4/11/2019 21:45,"518 Wilson St, Boston, MA 02215",4,11,2019,21:45
223011,Apple Airpods Headphones,1,150,4/16/2019 17:11,"87 Sunset St, San Francisco, CA 94016",4,16,2019,17:11
223012,Bose SoundSport Headphones,1,99.99,4/27/2019 16:58,"233 12th St, Austin, TX 73301",4,27,2019,16:58
223013,AAA Batteries (4-pack),2,2.99,4/12/2019 8:49,"289 8th St, New York City, NY 10001",4,12,2019,8:49
223014,Wired Headphones,1,11.99,4/16/2019 16:32,"421 Highland St, Atlanta, GA 30301",4,16,2019,16:32
223015,Bose SoundSport Headphones,1,99.99,4/2/2019 3:19,"605 Johnson St, San Francisco, CA 94016",4,2,2019,3:19
223016,USB-C Charging Cable,1,11.95,4/14/2019 18:17,"700 Church St, New York City, NY 10001",4,14,2019,18:17
223017,AAA Batteries (4-pack),2,2.99,4/9/2019 15:10,"773 Hickory St, San Francisco, CA 94016",4,9,2019,15:10
223018,ThinkPad Laptop,1,999.99,4/4/2019 11:44,"767 Adams St, Los Angeles, CA 90001",4,4,2019,11:44
223019,AAA Batteries (4-pack),2,2.99,4/16/2019 7:02,"788 Hill St, Dallas, TX 75001",4,16,2019,7:02
223020,27in FHD Monitor,1,149.99,4/28/2019 6:10,"296 9th St, Boston, MA 02215",4,28,2019,6:10
223021,AAA Batteries (4-pack),1,2.99,4/7/2019 7:33,"657 10th St, Los Angeles, CA 90001",4,7,2019,7:33
223022,Lightning Charging Cable,1,14.95,4/6/2019 13:52,"93 Madison St, Atlanta, GA 30301",4,6,2019,13:52
223023,Bose SoundSport Headphones,1,99.99,4/30/2019 19:28,"268 Meadow St, San Francisco, CA 94016",4,30,2019,19:28
223024,AAA Batteries (4-pack),2,2.99,4/27/2019 23:52,"91 Jefferson St, Dallas, TX 75001",4,27,2019,23:52
223025,AA Batteries (4-pack),1,3.84,4/15/2019 13:33,"142 Pine St, San Francisco, CA 94016",4,15,2019,13:33
223026,Wired Headphones,1,11.99,4/13/2019 4:58,"47 Pine St, San Francisco, CA 94016",4,13,2019,4:58
223027,AA Batteries (4-pack),1,3.84,4/25/2019 6:33,"876 Center St, Austin, TX 73301",4,25,2019,6:33
223028,Vareebadd Phone,1,400,4/23/2019 22:23,"969 10th St, San Francisco, CA 94016",4,23,2019,22:23
223028,USB-C Charging Cable,2,11.95,4/14/2019 2:55,"969 10th St, San Francisco, CA 94016",4,14,2019,2:55
223028,Wired Headphones,1,11.99,4/13/2019 22:59,"969 10th St, San Francisco, CA 94016",4,13,2019,22:59
223029,USB-C Charging Cable,1,11.95,4/16/2019 11:26,"144 Adams St, New York City, NY 10001",4,16,2019,11:26
223030,Bose SoundSport Headphones,1,99.99,4/28/2019 8:00,"704 13th St, Los Angeles, CA 90001",4,28,2019,8:00
223031,27in FHD Monitor,1,149.99,4/4/2019 12:52,"445 Johnson St, Los Angeles, CA 90001",4,4,2019,12:52
223032,Apple Airpods Headphones,1,150,4/12/2019 19:06,"8 Cherry St, Dallas, TX 75001",4,12,2019,19:06
223033,AAA Batteries (4-pack),1,2.99,4/10/2019 0:29,"972 Meadow St, Atlanta, GA 30301",4,10,2019,0:29
223034,Wired Headphones,1,11.99,4/12/2019 20:55,"927 South St, Portland, OR 97035",4,12,2019,20:55
223035,Flatscreen TV,1,300,4/24/2019 18:25,"911 Sunset St, Portland, OR 97035",4,24,2019,18:25
223036,Apple Airpods Headphones,1,150,4/12/2019 3:19,"828 Willow St, Boston, MA 02215",4,12,2019,3:19
223037,Wired Headphones,1,11.99,4/5/2019 21:29,"24 Adams St, Los Angeles, CA 90001",4,5,2019,21:29
223038,Lightning Charging Cable,1,14.95,4/19/2019 2:19,"990 11th St, Los Angeles, CA 90001",4,19,2019,2:19
223039,Flatscreen TV,1,300,4/15/2019 12:02,"9 Center St, Dallas, TX 75001",4,15,2019,12:02
223040,Apple Airpods Headphones,1,150,4/24/2019 13:55,"395 West St, Austin, TX 73301",4,24,2019,13:55
