Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month,Day,Year,Time
209921,USB-C Charging Cable,1,11.95,6/21/2019 18:31,"950 Walnut St, Portland, ME 04101",6,21,2019,18:31
209922,Macbook Pro Laptop,1,1700,6/14/2019 3:24,"80 4th St, San Francisco, CA 94016",6,14,2019,3:24
209923,ThinkPad Laptop,1,999.99,6/27/2019 20:59,"402 Jackson St, Los Angeles, CA 90001",6,27,2019,20:59
209924,27in FHD Monitor,1,149.99,6/7/2019 7:34,"560 10th St, Seattle, WA 98101",6,7,2019,7:34
209925,Bose SoundSport Headphones,1,99.99,6/22/2019 21:10,"545 2nd St, San Francisco, CA 94016",6,22,2019,21:10
209926,Apple Airpods Headphones,1,150,6/10/2019 5:37,"386 Lake St, Seattle, WA 98101",6,10,2019,5:37
209927,Lightning Charging Cable,1,14.95,6/2/2019 20:22,"29 Lincoln St, Los Angeles, CA 90001",6,2,2019,20:22
209928,Apple Airpods Headphones,1,150,6/16/2019 0:35,"350 9th St, New York City, NY 10001",6,16,2019,0:35
209929,Wired Headphones,1,11.99,6/16/2019 22:57,"612 Meadow St, Portland, OR 97035",6,16,2019,22:57
209930,27in FHD Monitor,1,149.99,6/30/2019 0:05,"625 Ridge St, Los Angeles, CA 90001",6,30,2019,0:05
209931,Apple Airpods Headphones,1,150,6/20/2019 12:19,"761 14th St, New York City, NY 10001",6,20,2019,12:19
209932,Flatscreen TV,1,300,6/7/2019 16:58,"858 8th St, Boston, MA 02215",6,7,2019,16:58
209933,AA Batteries (4-pack),1,3.84,6/25/2019 19:53,"932 Lakeview St, San Francisco, CA 94016",6,25,2019,19:53
209934,AAA Batteries (4-pack),1,2.99,6/17/2019 17:26,"387 Dogwood St, Boston, MA 02215",6,17,2019,17:26
209935,AAA Batteries (4-pack),1,2.99,6/11/2019 13:08,"530 Cedar St, Boston, MA 02215",6,11,2019,13:08
209936,34in Ultrawide Monitor,1,379.99,6/25/2019 21:40,"769 Dogwood St, Dallas, TX 75001",6,25,2019,21:40
209937,AA Batteries (4-pack),1,3.84,6/12/2019 15:57,"675 Maple St, Dallas, TX 75001",6,12,2019,15:57
209938,iPhone,1,700,6/28/2019 2:19,"766 Meadow St, Seattle, WA 98101",6,28,2019,2:19
209938,Wired Headphones,1,11.99,6/30/2019 19:05,"766 Meadow St, Seattle, WA 98101",6,30,2019,19:05
209939,Google Phone,1,600,6/28/2019 18:23,"313 South St, San Francisco, CA 94016",6,28,2019,18:23
209940,34in Ultrawide Monitor,1,379.99,6/12/2019 1:43,"990 South St, Atlanta, GA 30301",6,12,2019,1:43
209941,Wired Headphones,1,11.99,6/21/2019 10:25,"486 13th St, Boston, MA 02215",6,21,2019,10:25
209942,27in 4K Gaming Monitor,1,389.99,6/17/2019 3:01,"874 Wilson St, Austin, TX 73301",6,17,2019,3:01
209943,AAA Batteries (4-pack),3,2.99,6/11/2019 13:45,"158 Willow St, Los Angeles, CA 90001",6,11,2019,13:45
209944,27in FHD Monitor,1,149.99,6/11/2019 3:53,"916 Lake St, Austin, TX 73301",6,11,2019,3:53
209945,AA Batteries (4-pack),1,3.84,6/5/2019 12:36,"211 12th St, San Francisco, CA 94016",6,5,2019,12:36
209946,Google Phone,1,600,6/4/2019 15:41,"66 Cherry St, San Francisco, CA 94016",6,4,2019,15:41
209947,Apple Airpods Headphones,1,150,6/16/2019 19:24,"7 Lakeview St, San Francisco, CA 94016",6,16,2019,19:24
209948,Macbook Pro Laptop,1,1700,6/7/2019 17:11,"101 Spruce St, Atlanta, GA 30301",6,7,2019,17:11
209949,Google Phone,1,600,6/24/2019 14:26,"637 12th St, San Francisco, CA 94016",6,24,2019,14:26
209949,USB-C Charging Cable,1,11.95,6/15/2019 20:17,"637 12th St, San Francisco, CA 94016",6,15,2019,20:17
209950,Wired Headphones,2,11.99,6/26/2019 4:32,"689 Walnut St, Los Angeles, CA 90001",6,26,2019,4:32
209951,27in 4K Gaming Monitor,1,389.99,6/29/2019 15:32,"998 Johnson St, New York City, NY 10001",6,29,2019,15:32
209952,20in Monitor,1,109.99,6/25/2019 13:32,"314 Willow St, Dallas, TX 75001",6,25,2019,13:32
209953,Google Phone,1,600,6/4/2019 7:12,"753 6th St, Dallas, TX 75001",6,4,2019,7:12
209954,iPhone,1,700,6/26/2019 21:09,"599 2nd St, San Francisco, CA 94016",6,26,2019,21:09
