Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month,Day,Year,Time
194095,Wired Headphones,1,11.99,5/23/2019 17:50,"669 2nd St, New York City, NY 10001",5,23,2019,17:50
194096,AA Batteries (4-pack),1,3.84,5/28/2019 2:53,"844 Walnut St, Dallas, TX 75001",5,28,2019,2:53
194097,27in FHD Monitor,1,149.99,5/26/2019 13:19,"164 Madison St, New York City, NY 10001",5,26,2019,13:19
194098,Wired Headphones,1,11.99,5/15/2019 10:48,"622 Meadow St, Dallas, TX 75001",5,15,2019,10:48
194099,AAA Batteries (4-pack),2,2.99,5/16/2019 3:08,"17 Church St, Seattle, WA 98101",5,16,2019,3:08
194100,iPhone,1,700,5/8/2019 20:50,"81 Jefferson St, San Francisco, CA 94016",5,8,2019,20:50
194101,USB-C Charging Cable,1,11.95,5/5/2019 5:02,"354 Meadow St, Boston, MA 02215",5,5,2019,5:02
194102,Lightning Charging Cable,1,14.95,5/28/2019 0:22,"166 4th St, Dallas, TX 75001",5,28,2019,0:22
194103,27in FHD Monitor,1,149.99,5/24/2019 16:49,"759 Pine St, Seattle, WA 98101",5,24,2019,16:49
194104,Wired Headphones,1,11.99,5/9/2019 0:37,"330 1st St, Seattle, WA 98101",5,9,2019,0:37
194105,ThinkPad Laptop,1,999.99,5/17/2019 15:08,"928 Hill St, Atlanta, GA 30301",5,17,2019,15:08
194106,USB-C Charging Cable,1,11.95,5/8/2019 23:45,"261 Jackson St, San Francisco, CA 94016",5,8,2019,23:45
194107,34in Ultrawide Monitor,1,379.99,5/6/2019 13:15,"451 Walnut St, New York City, NY 10001",5,6,2019,13:15
194108,AA Batteries (4-pack),1,3.84,5/31/2019 6:26,"832 Lakeview St, Austin, TX 73301",5,31,2019,6:26
194109,AAA Batteries (4-pack),1,2.99,5/10/2019 2:58,"202 11th St, Los Angeles, CA 90001",5,10,2019,2:58
194110,Google Phone,1,600,5/21/2019 17:15,"498 14th St, Los Angeles, CA 90001",5,21,2019,17:15
194110,Wired Headphones,1,11.99,5/6/2019 2:50,"498 14th St, Los Angeles, CA 90001",5,6,2019,2:50
194111,27in FHD Monitor,1,149.99,5/15/2019 22:05,"99 Dogwood St, Dallas, TX 75001",5,15,2019,22:05
194112,Google Phone,1,600,5/4/2019 2:24,"853 West St, Austin, TX 73301",5,4,2019,2:24
194113,Apple Airpods Headphones,1,150,5/5/2019 9:21,"29 Adams St, Los Angeles, CA 90001",5,5,2019,9:21
194114,Wired Headphones,1,11.99,5/7/2019 10:13,"857 River St, Atlanta, GA 30301",5,7,2019,10:13
194115,AAA Batteries (4-pack),1,2.99,5/21/2019 21:32,"159 Lincoln St, Los Angeles, CA 90001",5,21,2019,21:32
194116,Lightning Charging Cable,1,14.95,5/18/2019 19:58,"486 6th St, Boston, MA 02215",5,18,2019,19:58
194117,Lightning Charging Cable,1,14.95,5/22/2019 2:25,"239 Madison St, Austin, TX 73301",5,22,2019,2:25
194118,AA Batteries (4-pack),1,3.84,5/24/2019 10:47,"762 Maple St, Boston, MA 02215",5,24,2019,10:47
194119,Wired Headphones,3,11.99,5/28/2019 20:42,"531 Jackson St, New York City, NY 10001",5,28,2019,20:42
194120,AAA Batteries (4-pack),1,2.99,5/23/2019 11:17,"492 Washington St, Los Angeles, CA 90001",5,23,2019,11:17
194121,LG Dryer,1,600,5/25/2019 6:11,"911 Hill St, Los Angeles, CA 90001",5,25,2019,6:11
194122,Wired Headphones,1,11.99,5/15/2019 13:54,"573 Spruce St, Dallas, TX 75001",5,15,2019,13:54
194123,Apple Airpods Headphones,1,150,5/9/2019 15:44,"546 Meadow St, Atlanta, GA 30301",5,9,2019,15:44
194124,iPhone,1,700,5/11/2019 21:47,"937 North St, Portland, OR 97035",5,11,2019,21:47
194125,Bose SoundSport Headphones,1,99.99,5/6/2019 14:19,"613 Lake St, San Francisco, CA 94016",5,6,2019,14:19
194126,AAA Batteries (4-pack),2,2.99,5/10/2019 21:02,"549 Willow St, Los Angeles, CA 90001",5,10,2019,21:02
194127,Wired Headphones,1,11.99,5/25/2019 18:37,"320 River St, Seattle, WA 98101",5,25,2019,18:37
194128,AAA Batteries (4-pack),2,2.99,5/1/2019 4:07,"851 Wilson St, San Francisco, CA 94016",5,1,2019,4:07
194129,AA Batteries (4-pack),2,3.84,5/15/2019 16:27,"487 Dogwood St, Seattle, WA 98101",5,15,2019,16:27
194130,34in Ultrawide Monitor,1,379.99,5/31/2019 5:40,"847 Lakeview St, San Francisco, CA 94016",5,31,2019,5:40
194131,Bose SoundSport Headphones,1,99.99,5/8/2019 10:28,"742 Jackson St, Seattle, WA 98101",5,8,2019,10:28
194132,iPhone,1,700,5/6/2019 13:34,"478 Pine St, Seattle, WA 98101",5,6,2019,13:34
194133,Bose SoundSport Headphones,1,99.99,5/19/2019 10:30,"776 Hill St, San Francisco, CA 94016",5,19,2019,10:30
194134,USB-C Charging Cable,1,11.95,5/9/2019 16:16,"190 1st St, Los Angeles, CA 90001",5,9,2019,16:16
194135,Bose SoundSport Headphones,1,99.99,5/11/2019 16:27,"589 10th St, Seattle, WA 98101",5,11,2019,16:27
194136,Wired Headphones,1,11.99,5/12/2019 19:48,"702 14th St, Dallas, TX 75001",5,12,2019,19:48
194137,27in FHD Monitor,1,149.99,5/28/2019 20:03,"666 Adams St, San Francisco, CA 94016",5,28,2019,20:03
194138,Lightning Charging Cable,1,14.95,5/27/2019 9:04,"259 Center St, San Francisco, CA 94016",5,27,2019,9:04
194139,Apple Airpods Headphones,1,150,5/2/2019 15:02,"362 2nd St, San Francisco, CA 94016",5,2,2019,15:02
194140,Lightning Charging Cable,1,14.95,5/15/2019 20:08,"870 4th St, Austin, TX 73301",5,15,2019,20:08
194141,Wired Headphones,1,11.99,5/3/2019 5:33,"807 Highland St, Boston, MA 02215",5,3,2019,5:33
194142,27in FHD Monitor,1,149.99,5/15/2019 8:56,"48 Hickory St, Los Angeles, CA 90001",5,15,2019,8:56
