Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month,Day,Year,Time
259358,34in Ultrawide Monitor,1,379.99,10/7/2019 10:09,"609 Cherry St, Dallas, TX 75001",10,7,2019,10:09
259359,27in 4K Gaming Monitor,1,389.99,10/9/2019 7:10,"225 5th St, Los Angeles, CA 90001",10,9,2019,7:10
259360,AAA Batteries (4-pack),2,2.99,10/28/2019 23:45,"967 12th St, New York City, NY 10001",10,28,2019,23:45
259361,27in FHD Monitor,1,149.99,10/21/2019 4:04,"628 Jefferson St, New York City, NY 10001",10,21,2019,4:04
259362,Wired Headphones,1,11.99,10/2/2019 13:17,"534 14th St, Los Angeles, CA 90001",10,2,2019,13:17
259363,AAA Batteries (4-pack),1,2.99,10/30/2019 2:50,"976 Lake St, New York City, NY 10001",10,30,2019,2:50
259364,Wired Headphones,1,11.99,10/3/2019 22:50,"874 North St, Los Angeles, CA 90001",10,3,2019,22:50
259365,Lightning Charging Cable,1,14.95,10/26/2019 11:46,"127 12th St, Los Angeles, CA 90001",10,26,2019,11:46
259366,Apple Airpods Headphones,1,150,10/27/2019 18:03,"955 9th St, Los Angeles, CA 90001",10,27,2019,18:03
259367,Apple Airpods Headphones,1,150,10/1/2019 16:33,"742 14th St, San Francisco, CA 94016",10,1,2019,16:33
259368,27in FHD Monitor,1,149.99,10/9/2019 4:37,"960 Ridge St, Boston, MA 02215",10,9,2019,4:37
259369,USB-C Charging Cable,1,11.95,10/21/2019 16:51,"538 Johnson St, Portland, OR 97035",10,21,2019,16:51
259370,20in Monitor,1,109.99,10/14/2019 5:20,"528 Forest St, San Francisco, CA 94016",10,14,2019,5:20
259371,iPhone,1,700,10/8/2019 0:58,"306 Main St, Los Angeles, CA 90001",10,8,2019,0:58
259372,Wired Headphones,1,11.99,10/13/2019 7:57,"434 Madison St, San Francisco, CA 94016",10,13,2019,7:57
259373,27in FHD Monitor,1,149.99,10/20/2019 7:46,"924 Church St, San Francisco, CA 94016",10,20,2019,7:46
259374,Apple Airpods Headphones,1,150,10/26/2019 23:36,"784 6th St, Los Angeles, CA 90001",10,26,2019,23:36
259375,USB-C Charging Cable,1,11.95,10/8/2019 17:29,"557 Forest St, San Francisco, CA 94016",10,8,2019,17:29
259376,27in FHD Monitor,1,149.99,10/29/2019 19:44,"218 14th St, San Francisco, CA 94016",10,29,2019,19:44
259377,Bose SoundSport Headphones,1,99.99,10/7/2019 2:03,"88 Main St, Boston, MA 02215",10,7,2019,2:03
259378,Lightning Charging Cable,1,14.95,10/20/2019 12:26,"997 1st St, Boston, MA 02215",10,20,2019,12:26
259379,27in 4K Gaming Monitor,1,389.99,10/17/2019 3:53,"148 Lincoln St, San Francisco, CA 94016",10,17,2019,3:53
259380,Apple Airpods Headphones,1,150,10/9/2019 2:40,"424 North St, San Francisco, CA 94016",10,9,2019,2:40
259381,ThinkPad Laptop,1,999.99,10/21/2019 20:41,"887 12th St, New York City, NY 10001",10,21,2019,20:41
259382,Wired Headphones,1,11.99,10/11/2019 0:22,"605 Ridge St, New York City, NY 10001",10,11,2019,0:22
259383,Apple Airpods Headphones,1,150,10/18/2019 19:25,"597 6th St, Los Angeles, CA 90001",10,18,2019,19:25
259384,ThinkPad Laptop,1,999.99,10/16/2019 8:51,"383 Cedar St, Dallas, TX 75001",10,16,2019,8:51
259385,Lightning Charging Cable,1,14.95,10/25/2019 10:17,"892 1st St, Los Angeles, CA 90001",10,25,2019,10:17
259386,Lightning Charging Cable,1,14.95,10/17/2019 19:16,"966 Hickory St, Los Angeles, CA 90001",10,17,2019,19:16
259387,Bose SoundSport Headphones,1,99.99,10/2/2019 21:47,"695 6th St, New York City, NY 10001",10,2,2019,21:47
259388,AA Batteries (4-pack),1,3.84,10/25/2019 3:28,"948 Forest St, San Francisco, CA 94016",10,25,2019,3:28
259389,AAA Batteries (4-pack),1,2.99,10/24/2019 9:17,"661 Maple St, Dallas, TX 75001",10,24,2019,9:17
259390,Lightning Charging Cable,1,14.95,10/14/2019 1:52,"134 Cherry St, Atlanta, GA 30301",10,14,2019,1:52
259391,Google Phone,1,600,10/19/2019 18:32,"374 Hill St, Dallas, TX 75001",10,19,2019,18:32
259392,Wired Headphones,1,11.99,10/12/2019 1:58,"374 Forest St, Los Angeles, CA 90001",10,12,2019,1:58
259393,AA Batteries (4-pack),1,3.84,10/2/2019 0:15,"2 13th St, New York City, NY 10001",10,2,2019,0:15
259394,AA Batteries (4-pack),1,3.84,10/29/2019 0:01,"909 Lake St, Atlanta, GA 30301",10,29,2019,0:01
259395,Bose SoundSport Headphones,1,99.99,10/29/2019 1:52,"235 Adams St, Atlanta, GA 30301",10,29,2019,1:52
259396,AAA Batteries (4-pack),1,2.99,10/3/2019 21:13,"218 Spruce St, Austin, TX 73301",10,3,2019,21:13
259397,Wired Headphones,1,11.99,10/16/2019 20:32,"901 Walnut St, Atlanta, GA 30301",10,16,2019,20:32
259398,Bose SoundSport Headphones,1,99.99,10/18/2019 7:39,"367 Pine St, Seattle, WA 98101",10,18,2019,7:39
259399,AAA Batteries (4-pack),2,2.99,10/25/2019 4:26,"263 Willow St, San Francisco, CA 94016",10,25,2019,4:26
259400,27in 4K Gaming Monitor,1,389.99,10/8/2019 10:37,"628 Forest St, Los Angeles, CA 90001",10,8,2019,10:37
259401,Wired Headphones,1,11.99,10/30/2019 5:27,"291 Lincoln St, Los Angeles, CA 90001",10,30,2019,5:27
259402,AA Batteries (4-pack),3,3.84,10/12/2019 16:57,"11 Lakeview St, Seattle, WA 98101",10,12,2019,16:57
259403,USB-C Charging Cable,1,11.95,10/19/2019 13:39,"255 Cedar St, New York City, NY 10001",10,19,2019,13:39
